scenario,tier,year,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt,demand_met_pct,pipeline_tonne_km,edges_used,max_edge_util_pct,min_cost_objective,active_segments,capacity_factor,connector_count
S1,high,2025,59.4,1261.719072101,39.83460370242,0,39.83460370242,19.56539629758,67.06162239465,0,0,0,0,140,1,0
S1,high,2030,396,3873.015873016,227.2581238486,0,227.2581238486,168.7418761514,57.38841511327,0,0,0,0,140,1,0
S1,high,2035,780.7664711524,5530.158730158,427.1157826173,0,427.1157826173,353.650688535,54.704677826,0,0,0,0,140,1,0
S1,high,2040,1236.859023167,6843.174603174,650.8289284746,6.377,657.2059284746,579.653094692,53.1350716747,6815080.742327,1,3.266123175774,681509990,140,1,0
S1,high,2045,1752.466690381,8156.190476191,849.0386359157,66.222,915.2606359157,837.2060544656,52.22699187033,111989133.1241,6,32.69164012948,11198935995,140,1,0
S1,high,2050,2301.674605283,9469.206349207,1053.336870229,135.765,1189.101870229,1112.572735053,51.66246642772,241531265.9981,6,62.31567780953,24153173910,140,1,0
S1,high,2055,2840.077354603,10782.22222222,1255.157693829,202.71,1457.867693829,1382.209660774,51.3319713446,365957407.3096,6,86.38366647237,36595811730,140,1,0
S1,high,2060,3300,12095.23809524,1438.984582138,250.773,1689.757582138,1610.242417862,51.20477521629,453171233.9186,6,92.86041178117,45317211255,140,1,0
S1,low,2025,6.6,1261.719072101,5.533098689737,0,5.533098689737,1.066901310263,83.83482863239,0,0,0,0,140,1,0
S1,low,2030,66,1452.380952381,44.23528957963,0,44.23528957963,21.76471042037,67.02316602975,0,0,0,0,140,1,0
S1,low,2035,135.3445945946,2073.809523809,84.03151984245,0,84.03151984245,51.31307475214,62.08708969439,0,0,0,0,140,1,0
S1,low,2040,215.4810810811,2566.190476191,128.1743228197,0,128.1743228197,87.30675826134,59.4828660487,0,0,0,0,140,1,0
S1,low,2045,307.2121621622,3058.571428571,178.0052185776,0,178.0052185776,129.2069435845,57.94211313929,0,0,0,0,140,1,0
S1,low,2050,411.3405405405,3550.952380952,233.6402137902,0,233.6402137902,177.7003267504,56.79970505293,0,0,0,0,140,1,0
S1,low,2055,528.6689189189,4043.333333333,294.6903444929,0,294.6903444929,233.978574426,55.74194622515,0,0,0,0,140,1,0
S1,low,2060,660,4535.714285714,362.3196787489,0,362.3196787489,297.6803212511,54.89692102256,0,0,0,0,140,1,0
S1,mid,2025,26.4,1261.719072101,19.6415770801,0,19.6415770801,6.758422919899,74.3999131822,0,0,0,0,140,1,0
S1,mid,2030,198,2224.924012158,116.0856060389,0,116.0856060389,81.9143939611,58.62909395904,0,0,0,0,140,1,0
S1,mid,2035,395.8921062512,3460.045836516,223.6387069608,0,223.6387069608,172.2533992904,56.48981210525,0,0,0,0,140,1,0
S1,mid,2040,630.4447531443,4635.698924731,347.7443867289,0,347.7443867289,282.7003664154,55.15858209534,0,0,0,0,140,1,0
S1,mid,2045,903.8949033228,5525.161290323,486.9254090071,0,486.9254090071,416.9694943156,53.86969294961,0,0,0,0,140,1,0
S1,mid,2050,1218.479519429,5924.583651642,608.2298518455,31.632,639.8618518455,578.6176675837,52.5131396665,46059437.13188,6,14.51898147881,4605954045,140,1,0
S1,mid,2055,1576.435564107,6194.042553192,708.4151015006,103.194,811.6091015006,764.8264626068,51.48381069163,184104637.0979,6,43.97551219945,18410499705,140,1,0
S1,mid,2060,1980,6335.60090703,811.4014262648,191.843,1003.244426265,976.7555737352,50.66891041741,356571196.7493,6,71.03882785362,35657187560,140,1,0
S2,high,2025,80,1261.719072101,64.48441138022,0,64.48441138022,15.51558861978,80.60551422527,0,0,0,0,140,1,0
S2,high,2030,400,3873.015873016,301.8139472771,4.632,306.4459472771,93.55405272287,76.61148681928,5267600.497649,2,0.7850311144199,526762716,140,1,0
S2,high,2035,857.8519218541,5530.158730158,588.8993831802,46.021,634.9203831802,222.9315386739,74.01281818054,47333984.3419,2,9.010381169084,4733423160,140,1,0
S2,high,2040,1419.574269497,6843.174603174,911.9134527924,112.319,1024.232452792,395.3418167047,72.1506774813,114103520.6551,3,20.44870053985,11410408095,140,1,0
S2,high,2045,2089.908647031,8156.190476191,1235.451836703,245.247,1480.698836703,609.2098103277,70.84993111095,398463497.9801,6,34.21473032229,39846459606,140,1,0
S2,high,2050,2873.596658558,9469.206349207,1566.713604258,414.864,1981.577604258,892.0190543001,68.9580981505,1129545874.135,10,49.80470583928,112954788196,140,1,0
S2,high,2055,3775.37990818,10782.22222222,1887.14298301,649.053,2536.19598301,1239.18392517,67.17723897177,2325378982.731,11,68.79073427048,232538199520,140,1,0
S2,high,2060,4800,12095.23809524,2228.75916111,919.167,3147.92616111,1652.07383889,65.58179502313,3733111922.24,11,99.99973195974,373311602771,140,1,0
S2,low,2025,8,1261.719072101,7.331946206927,0,7.331946206927,0.6680537930725,91.64932758659,0,0,0,0,140,1,0
